severity,method,nx,cell_index,z_left_cm,z_center_cm,z_right_cm,r_left_cm,r_center_cm,r_right_cm,dx_cm
50,fv-muscl-minmod,400,354,5.295,5.3025,5.31,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,355,5.31,5.3175,5.325,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,356,5.325,5.3325,5.34,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,357,5.34,5.3475,5.355,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,358,5.355,5.3625,5.37,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,359,5.37,5.3775,5.385,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,360,5.385,5.3925,5.4,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,361,5.4,5.4075,5.415,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,362,5.415,5.4225,5.43,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,363,5.43,5.4375,5.445,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,364,5.445,5.4525,5.46,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,365,5.46,5.4675,5.475,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,366,5.475,5.4825,5.49,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,367,5.49,5.4975,5.505,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,368,5.505,5.5125,5.52,0.18,0.18,0.18,0.015
