severity,particle_id,seed_label,sample_index,z_cm,x_cm,y_cm,r_cm,r_over_r0,t_s,ux_cm_s,uy_cm_s,uz_cm_s
73,2,theta0,157,3.885,0.0337937628496,-2.93097568484e-06,0.0337937629767,0.187743127649,3.21227149996,-4.47465987397e-09,-9.75158584867e-10,0.958116295852
73,2,theta0,158,3.90958333333,0.0337937627477,-2.93099650382e-06,0.0337937628748,0.187743127082,3.23792948058,-3.4341621563e-09,-6.63187486401e-10,0.958116760504
73,2,theta0,159,3.93416666667,0.0337937626749,-2.93101051432e-06,0.033793762802,0.187743126678,3.2635874364,-2.20628041061e-09,-4.44449209655e-10,0.958118147
73,2,theta0,160,3.95875,0.0337937626307,-2.93101990183e-06,0.0337937627578,0.187743126432,3.28924539429,-1.33961189343e-09,-2.92096606922e-10,0.958116615018
73,2,theta0,161,3.98333333333,0.0337937626039,-2.93102580718e-06,0.033793762731,0.187743126283,3.31490337648,-7.83942272596e-10,-1.74653630383e-10,0.958116323787
73,2,theta0,162,4.00791666667,0.0337937625889,-2.93102919467e-06,0.033793762716,0.1877431262,3.3405613541,-4.1159670953e-10,-9.58331252763e-11,0.958116956182
73,2,theta0,163,4.0325,0.0337937625812,-2.93103105379e-06,0.0337937627083,0.187743126157,3.36621930369,-2.20598432462e-10,-5.52874892213e-11,0.95811822785
73,2,theta0,164,4.05708333333,0.0337937625771,-2.93103212921e-06,0.0337937627042,0.187743126134,3.39187726817,-1.13960786891e-10,-2.93626598541e-11,0.958116493522
73,2,theta0,165,4.08166666667,0.033793762575,-2.93103262567e-06,0.0337937627021,0.187743126123,3.41753525133,-4.83185332015e-11,-1.06680508033e-11,0.958116373134
73,2,theta0,166,4.10625,0.0337937625743,-2.93103274502e-06,0.0337937627014,0.187743126119,3.44319322533,-1.2221377324e-11,3.18676374738e-14,0.958117176946
73,2,theta0,167,4.13083333333,0.0337937625742,-2.93103268967e-06,0.0337937627013,0.187743126118,3.46885117117,-2.57214501134e-12,3.37797249134e-12,0.958117620944
73,2,theta0,168,4.15541666667,0.0337937625742,-2.93103257721e-06,0.0337937627013,0.187743126118,3.49450914196,2.24487732945e-12,5.23301509321e-12,0.958116401217
73,2,theta0,169,4.18,0.0337937625743,-2.93103243021e-06,0.0337937627014,0.187743126119,3.52016712528,4.40638850689e-12,6.0456271093e-12,0.958116453003
73,2,theta0,170,4.20458333333,0.0337937625744,-2.93103227621e-06,0.0337937627015,0.187743126119,3.54582509484,4.54652616571e-12,5.77793565748e-12,0.958117429058
73,2,theta0,171,4.22916666667,0.0337937625745,-2.9310321417e-06,0.0337937627016,0.18774312612,3.57148303578,3.35823961935e-12,4.7206454323e-12,0.958117113365
73,2,theta0,172,4.25375,0.0337937625746,-2.93103203231e-06,0.0337937627017,0.18774312612,3.59714101172,2.48127875061e-12,3.82014375607e-12,0.958116340783
73,2,theta0,173,4.27833333333,0.0337937625746,-2.93103194499e-06,0.0337937627017,0.187743126121,3.62279899436,1.75099619435e-12,2.99897770815e-12,0.958116564884
73,2,theta0,174,4.30291666667,0.0337937625746,-2.93103187774e-06,0.0337937627018,0.187743126121,3.64845695861,1.17591475888e-12,2.25633511095e-12,0.958117713258
73,2,theta0,175,4.3275,0.0337937625747,-2.93103182808e-06,0.0337937627018,0.187743126121,3.67411490378,7.70792797582e-13,1.65564086526e-12,0.958116840317
73,2,theta0,176,4.35208333333,0.0337937625747,-2.93103179176e-06,0.0337937627018,0.187743126121,3.6997728831,4.73430153002e-13,1.19215803688e-12,0.958116312467
73,2,theta0,177,4.37666666667,0.0337937625747,-2.93103176603e-06,0.0337937627018,0.187743126121,3.72543086419,2.60633537202e-13,8.29967238293e-13,0.95811670889
73,2,theta0,178,4.40125,0.0337937625747,-2.9310317483e-06,0.0337937627018,0.187743126121,3.75108882228,1.3240295018e-13,5.69068469507e-13,0.958118029587
73,2,theta0,179,4.42583333333,0.0337937625747,-2.9310317361e-06,0.0337937627018,0.187743126121,3.77674677706,7.33689705327e-14,3.8868273508e-13,0.958116671807
73,2,theta0,180,4.45041666667,0.0337937625747,-2.93103172803e-06,0.0337937627018,0.187743126121,3.8024047586,3.28483709965e-14,2.46904514746e-13,0.958116316279
73,2,theta0,181,4.475,0.0337937625747,-2.93103172309e-06,0.0337937627018,0.187743126121,3.82806273727,6.15353445602e-15,1.45110609563e-13,0.958116885025
73,2,theta0,182,4.49958333333,0.0337937625747,-2.93103172024e-06,0.0337937627018,0.187743126121,3.85372068834,-6.71553908862e-15,8.3301019528e-14,0.958118378043
73,2,theta0,183,4.52416666667,0.0337937625747,-2.93103171847e-06,0.0337937627018,0.187743126121,3.87937865066,-2.47926174713e-14,5.55283445796e-14,0.958116535425
73,2,theta0,184,4.54875,0.0337937625747,-2.93103171735e-06,0.0337937627018,0.187743126121,3.90503663353,-2.10644714599e-14,3.28571484192e-14,0.958116352219
73,2,theta0,185,4.57333333333,0.0337937625747,-2.93103171675e-06,0.0337937627018,0.187743126121,3.93069460894,1.14486084189e-14,1.4995515415e-14,0.958117093287
