severity,nx,requested_time_s,elapsed_time_s,z_cm,a_cm2,q_cm3_s,u_cm_s
23.0,100,0.01,0.00999999999999976,5.67,0.0324025560572906,-0.027418722753119195,-0.8461901186017687
23.0,100,0.01,0.00999999999999976,5.7299999999999995,0.03240267592016038,-0.029647737880889646,-0.9149780701427608
23.0,100,0.01,0.00999999999999976,5.79,0.032402333461398765,-0.031552782976577876,-0.9737811943132748
23.0,100,0.01,0.00999999999999976,5.85,0.03240172380412636,-0.033053421714586036,-1.0201130629468755
23.0,100,0.01,0.00999999999999976,5.91,0.0324010416854105,-0.03409694283857673,-1.0523409453816992
23.0,100,0.01,0.00999999999999976,5.97,0.03240020204409424,-0.03491208613258087,-1.0775268032300584
23.0,100,0.1,0.09999999999999393,0.03,0.032387261638110135,0.0006746235033058134,0.020829902535260438
23.0,100,0.1,0.09999999999999393,0.09,0.03238660828980497,0.0020365370192940466,0.06288207153618897
23.0,100,0.1,0.09999999999999393,0.15,0.032386598922132664,0.0033539515619479287,0.10355985727343149
23.0,100,0.1,0.09999999999999393,0.21,0.032386582696748795,0.004624082033839109,0.14277770758145808
23.0,100,0.1,0.09999999999999393,0.27,0.03238655996624597,0.005828333145861971,0.17996147636354082
23.0,100,0.1,0.09999999999999393,0.32999999999999996,0.03238653255096025,0.00695656268763781,0.21479800829840764
