severity,z_cm,r0_cm,rbase_cm,s_fraction
23,0.266666666667,0.18,0.18,0
23,0.3,0.18,0.18,0
23,0.333333333333,0.18,0.18,0
23,0.366666666667,0.18,0.18,0
23,0.4,0.18,0.18,0
23,0.433333333333,0.18,0.18,0
23,0.466666666667,0.18,0.18,0
23,0.5,0.18,0.18,0
23,0.533333333333,0.18,0.18,0
23,0.566666666667,0.18,0.18,0
23,0.6,0.18,0.18,0
23,0.633333333333,0.18,0.18,0
23,0.666666666667,0.18,0.18,0
23,0.7,0.18,0.18,0
23,0.733333333333,0.18,0.18,0
23,0.766666666667,0.18,0.18,0
23,0.8,0.18,0.18,0
23,0.833333333333,0.18,0.18,0
23,0.866666666667,0.18,0.18,0
23,0.9,0.18,0.18,0
23,0.933333333333,0.18,0.18,0
23,0.966666666667,0.18,0.18,0
23,1,0.18,0.18,0
23,1.03333333333,0.18,0.18,0
23,1.06666666667,0.18,0.18,0
23,1.1,0.18,0.18,0
23,1.13333333333,0.18,0.18,0
23,1.16666666667,0.18,0.18,0
23,1.2,0.18,0.18,0
23,1.23333333333,0.18,0.18,0
23,1.26666666667,0.18,0.18,0
23,1.3,0.18,0.18,0
23,1.33333333333,0.18,0.18,0
23,1.36666666667,0.18,0.18,0
23,1.4,0.18,0.18,0
23,1.43333333333,0.18,0.18,0
23,1.46666666667,0.18,0.18,0
23,1.5,0.18,0.18,0
23,1.53333333333,0.18,0.18,0
23,1.56666666667,0.18,0.18,0
23,1.6,0.18,0.18,0
23,1.63333333333,0.18,0.18,0
23,1.66666666667,0.18,0.18,0
23,1.7,0.18,0.18,0
23,1.73333333333,0.18,0.18,0
23,1.76666666667,0.18,0.18,4.4408920985e-16
23,1.8,0.18,0.18,4.78173056706e-13
23,1.83333333333,0.179999999972,0.18,1.58150159635e-10
23,1.86666666667,0.179999996651,0.18,1.8604745522e-08
23,1.9,0.179999838886,0.18,8.95080067953e-07
23,1.93333333333,0.179996395905,0.18,2.00227500941e-05
23,1.96666666667,0.179957863633,0.18,0.000234090930366
23,2,0.179713894737,0.18,0.00158947368109
23,2.03333333333,0.178760322756,0.18,0.00688709580012
23,2.06666666667,0.17627493675,0.18,0.0206947958314
23,2.1,0.171652985266,0.18,0.0463723040805
23,2.13333333333,0.165152210279,0.18,0.0824877206735
23,2.16666666667,0.157890172301,0.18,0.122832376105
23,2.2,0.151188737518,0.18,0.160062569346
23,2.23333333333,0.145929443183,0.18,0.189280871205
23,2.26666666667,0.142356475002,0.18,0.209130694432
23,2.3,0.140247360484,0.18,0.220847997313
23,2.33333333333,0.139182895719,0.18,0.22676169045
23,2.36666666667,0.138746367017,0.18,0.229186849906
23,2.4,0.138618579464,0.18,0.229896780758
23,2.43333333333,0.138600257234,0.18,0.22999857092
23,2.46666666667,0.138600140436,0.18,0.229999219797
23,2.5,0.138612935479,0.18,0.229928136229
23,2.53333333333,0.138697207765,0.18,0.229459956862
23,2.56666666667,0.138954978401,0.18,0.228027897772
23,2.6,0.139511488918,0.18,0.224936172679
23,2.63333333333,0.14049349715,0.18,0.219480571387
23,2.66666666667,0.142006115882,0.18,0.211077133991
23,2.7,0.144110484751,0.18,0.199386195827
23,2.73333333333,0.146806416709,0.18,0.184408796063
23,2.76666666667,0.150024617082,0.18,0.166529905099
23,2.8,0.153631605914,0.18,0.146491078256
23,2.83333333333,0.157447358054,0.18,0.125292455254
23,2.86666666667,0.161272028072,0.18,0.104044288489
23,2.9,0.164915448002,0.18,0.0838030666552
23,2.93333333333,0.16822250539,0.18,0.0654305256106
23,2.96666666667,0.171089202492,0.18,0.0495044305981
23,3,0.173467339626,0.18,0.0362925576322
23,3.03333333333,0.175359026515,0.18,0.0257831860294
23,3.06666666667,0.176804459072,0.18,0.0177530051554
23,3.1,0.177867108804,0.18,0.0118493955356
23,3.13333333333,0.178619854089,0.18,0.00766747728392
23,3.16666666667,0.179134241369,0.18,0.00480977017179
23,3.2,0.179473642237,0.18,0.00292420979356
23,3.23333333333,0.17968999905,0.18,0.00172222750182
23,3.26666666667,0.179823276407,0.18,0.00098179773638
23,3.3,0.179902596704,0.18,0.000541129424113
23,3.33333333333,0.179948176468,0.18,0.000287908510652
23,3.36666666667,0.179973435994,0.18,0.000147577811548
23,3.4,0.17998691391,0.18,7.27004972583e-05
