z u1d77 u3d77 err77 u1d60 u3d60 err60
3.165829146 23.8064212 17.53194636 6.274474836 24.81142248 11.72533048 13.086092
3.195979899 23.36208004 17.37976246 5.982317575 24.03336205 15.06148016 8.971881886
3.226130653 23.04850853 16.96214447 6.086364062 23.48547508 17.92212507 5.563350012
3.256281407 22.83385246 17.92936747 4.904484997 23.11090585 14.65195139 8.458954459
3.286432161 22.69126574 13.30319324 9.388072499 22.86224848 13.12441312 9.737835365
3.316582915 22.59936871 18.29472741 4.304641304 22.70198849 18.19090631 4.511082171
3.346733668 22.54193965 16.43539442 6.106545232 22.60176875 17.35038598 5.251382762
3.376884422 22.50718893 19.02400099 3.483187944 22.54102564 16.93809434 5.602931302
3.407035176 22.48688025 17.17841163 5.308468621 22.50541186 17.88653363 4.618878227
3.43718593 22.47547057 13.04678311 9.428687457 22.48527883 12.72891643 9.756362397
3.467336683 22.46936217 17.31301271 5.156349465 22.47436675 17.02673003 5.447636722
3.497487437 22.46630262 17.49823324 4.968069374 22.46875737 19.39734483 3.071412544
3.527638191 22.46493248 16.67526845 5.789664028 22.46608619 16.77738623 5.688699956
3.557788945 22.46446199 17.79315346 4.671308529 22.46497963 18.01471124 4.450268389
3.587939698 22.46445046 12.86123833 9.603212135 22.46467125 13.69220723 8.77246402
3.618090452 22.46466242 18.16437963 4.300282788 22.46475152 17.40020097 5.064550545
3.648241206 22.46497779 16.86288884 5.60208895 22.46501163 17.1284848 5.336526823
3.67839196 22.46533843 17.86969301 4.595645419 22.46535044 19.17003672 3.295313716
3.708542714 22.46571771 17.51921239 4.946505327 22.46572166 16.97521282 5.490508842
3.738693467 22.46610418 13.06396407 9.402140108 22.46610536 12.06562614 10.40047921
3.768844221 22.46649323 17.74471552 4.721777714 22.46649353 17.73330113 4.733192402
3.798994975 22.46688315 18.33289309 4.133990062 22.46688319 17.69346203 4.773421163
3.829145729 22.46727335 16.75604063 5.711232715 22.46727332 16.14841452 6.318858798
3.859296482 22.46766363 15.10025899 7.36740464 22.46766359 15.74618922 6.721474371
3.889447236 22.46805396 15.41679188 7.051262086 22.46805392 14.92355468 7.544499241
3.91959799 22.46844432 16.54860244 5.919841876 22.46844427 18.04340009 4.425044185
3.949748744 22.4688347 17.45512364 5.01371106 22.46883466 17.1650895 5.30374516
3.979899497 22.46922511 17.25803741 5.211187698 22.46922506 17.70512602 4.764099044
4.010050251 22.46961554 16.83557432 5.634041219 22.46961549 15.85667554 6.612939945
4.040201005 22.47000599 13.97074019 8.499265801 22.47000594 14.66179511 7.808210834
4.070351759 22.47039646 16.52023479 5.950161675 22.47039642 17.83757672 4.632819695
4.100502513 22.47078696 17.96876098 4.502025989 22.47078692 17.65017291 4.820614011
4.130653266 22.47117749 16.44296734 6.028210152 22.47117744 15.97008714 6.501090299
4.16080402 22.47156804 12.89902396 9.572544079 22.47156799 14.03858323 8.432984762
4.190954774 22.47195861 17.44597452 5.025984089 22.47195856 17.05678385 5.41517471
4.221105528 22.4723492 18.00825032 4.464098879 22.47234916 16.74769199 5.724657171
